Bar Code,Description,Category Name,Location Name,Serial Number,Manufacturer Name,Division,Department,Campus,Status
4357,DESIGNJET 500,INK PRINTER,A231,SG3AF61004,HP,INSTRUCTION,ENVIRONMENTAL TECHNOLOGY,STANTON,ACTIVE
4407,PIXMA IP6600D,COLOR INK PRINTER,E210,AAEF05194,CANON,INSTRUCTION,BIO SCIENCE,STANTON,ACTIVE
7128,DESKJET 5740,INK PRINTER,F126,MY45H1W02H,HP,INSTRUCTION,AUTOMOTIVE,STANTON,ACTIVE
7161,BUBBLEJET COLOR 2100,INK PRINTER,F126,FEU86791,CANON,INSTRUCTION,AUTOMOTIVE,STANTON,ACTIVE
7363,DESKJET 550C,INK PRINTER,F113,US2CG150RG,HP,INSTRUCTION,AUTOMOTIVE,STANTON,ACTIVE
7690,LASERJET 4350DTN,LASER PRINTER,MODULAR 3,CNGXH08285,HP,INSTRUCTION,NURSING,STANTON,ACTIVE
8046,STYLUS 4800,INK PRINTER,B217,GK7E026590,EPSON,CAMPUS DIRECTOR,MARKETING,STANTON,ACTIVE
8135,PIXMA IP6700D,COLOR INK PRINTER,E210,AAHG10921,CANON,INSTRUCTION,BIO SCIENCE,STANTON,ACTIVE
8136,PIXMA IP6700D,COLOR INK PRINTER,E210,AAHG10920,CANON,INSTRUCTION,BIO SCIENCE,STANTON,ACTIVE
8999,BST1200ES ,3D PRINTER,E119,P09847,DIMENSION,INSTRUCTION,MECHANICAL ENGINEERING,STANTON,ACTIVE
9355,LASERJET P2035N,LASER PRINTER,B122,CNB9X35091,HP,BUSINESS SERVICES,BUSINESS OFFICE,STANTON,ACTIVE
9779,5130CDN,COLOR LASER PRINTER,E400,J86DBK1,DELL,INSTRUCTION,DEAN OF INSTRUCTION,GEORGE,ACTIVE
10070,LASERJET P3015DN,LASER PRINTER,C149,VNBCB1P0D5,HP,INSTRUCTION,NURSING,STANTON,ACTIVE
10166,5350DN,LASER PRINTER,MODULAR 1,28HT6L1,DELL,INSTRUCTION,NURSING,STANTON,ACTIVE
