PrinterModel,Brand,Model,Printers,MinStock,CurStock,Order,Needed
Intellifax4100,BROTHER,TN-4xx,1,2,6,NO,0
Intellifax4100-Drum,BROTHER,DR400,1,2,4,NO,0
Intellifax,BROTHER,TN-350,1,2,3,NO,0
C1765-Black,DELL,810WH,1,4,3,NO,1
C1765-Yellow,DELL,WM2JC,1,4,3,NO,1
C1765-Magenta,DELL,XMX5D,1,4,3,NO,1
C1765-Cyan,DELL,C5GC3,1,4,4,NO,0
LJ2330/2350,DELL,PK941,1,4,4,NO,0
LJ2330/2350/3330-Drum,DELL,PK496,1,2,2,NO,0
LJ2335,DELL,HX756,1,2,2,NO,0
B2360/B3460/B3465,DELL,M11XH,1,10,10,NO,0
B2375dnf/dfw,DELL,C7D6F,1,2,1,YES,1
C2660dn-Black,DELL,67H2T,1,4,4,NO,0
C2660dn-Cyan,DELL,TW3NN,1,4,3,NO,1
C2660dn-Magenta,DELL,V4TG6,1,4,2,YES,2
C2660dn-Yellow,DELL,2K1VC,1,4,3,NO,1
2660dn/3760dn/3765-Drum Black,DELL,59J78,1,4,11,NO,0
2660dn/3760dn/3765-Drum Yellow,DELL,59J78,1,4,12,NO,0
2660dn/3760dn/3765-Drum Cyan,DELL,59J78,1,4,7,NO,0
2660dn/3760dn/3765-Drum Magenta,DELL,59J78,1,4,16,NO,0
C2660dn/3760dn/3765-Waste,DELL,M20HF,1,2,3,NO,0
LJ3330,DELL,C233R,1,2,4,NO,0
D3333dn,DELL,G7D0Y,1,2,2,NO,0
B3465,DELL,DJMKY,0,0,0,NO,0
3760dn/3765-Black,DELL,W8D60,1,4,3,NO,1
3760dn/3765-Yellow,DELL,V0PNK,1,4,1,YES,3
3760dn/3765-Cyan,DELL,2PRFP,1,4,2,YES,2
3760dn/3765-Magenta,DELL,2GYKF,1,4,3,NO,1
LJ5130-Black,DELL,N848N,1,4,2,NO,0
LJ5130-Cyan,DELL,P614N,1,4,1,NO,0
LJ5130-Magenta,DELL,R272N,1,4,7,NO,0
LJ5130-Yellow,DELL,T222N,1,4,2,NO,0
LJ5130-Drum-Black,DELL,P623N,1,4,2,NO,0
LJ5130-Drum-Cyan,DELL,U163N,1,4,4,NO,0
LJ5130-Drum-Magenta,DELL,T229N,1,4,4,NO,0
LJ5130-Drum-Yellow,DELL,X951N,1,4,4,NO,0
LJ5130/5765-Waste-Box,DELL,J353R,1,1,0,NO,0
LJ5230/5350/5530,DELL,F362T,1,10,6,NO,4
LJB5460/B5465/S5830-Imaging-Unit,DELL,9PN5P,1,10,8,NO,2
LJ5535,DELL,Y4Y5R,1,2,2,NO,0
B5460dn/B5465dnf,DELL,X5GDJ,1,10,5,YES,5
E525-yel,DELL,3581G,1,6,5,NO,1
E525-blk,DELL,DPV4T,1,6,5,NO,1
E525-mag,DELL,G20VW,1,6,6,NO,0
E525-cy,DELL,H5WFX,1,6,6,NO,0
H825/S2825-Black,DELL,H5K44,1,4,0,YES,4
H825/S2825-Cyan,DELL,4Y75H,1,4,2,YES,2
H825/S2825-Magenta,DELL,4NRYP,1,4,3,NO,1
H825/S2825-Yellow,DELL,1MD5G,1,4,2,YES,2
H825/S2825-Image Black,DELL,MJN86,1,4,3,NO,1
H825/S2825-Image Cyan,DELL,CD7Y3,1,4,3,NO,1
H825/S2825-Image Magenta,DELL,D20NH,1,4,3,NO,1
H825/S2825-Image Yellow,DELL,16C0Y,1,4,5,NO,0
H825/S2825-Waste,DELL,8P3T1,1,4,4,NO,0
S2830-Black,DELL,GGCTW,1,4,4,NO,0
B2360/S2830/B3460/B3465/B3465-Image,DELL,X0GNG,1,10,6,NO,4
S3840/S3845 Black,DELL,1KTWP,1,4,4,NO,0
S3840/S3845 Yellow,DELL,XMHGR,1,4,4,NO,0
S3840/S3845 cyan,DELL,G7P4G,1,4,4,NO,0
S3840/S3845 Magenta,DELL,C6DN5,1,4,4,NO,0
S5830,DELL,8XTXR,1,4,1,YES,3
